title,character,character_alias,actor
Agents of S.H.I.E.L.D.,Noah,,Joel David Moore
Agents of S.H.I.E.L.D.,Young Hale,,Alyssa Jirrels
Agents of S.H.I.E.L.D.,Old Man,,Bill Cobbs
Agents of S.H.I.E.L.D.,Tillman,,Greg Finley
Agents of S.H.I.E.L.D.,Lt. Carpenter,,Christian Gehring
Agents of S.H.I.E.L.D.,Joe,,Philip Alexander
Agents of S.H.I.E.L.D.,Copper,,Christopher Wallinger
Agents of S.H.I.E.L.D.,Chip Womack,,Karl Girolamo
Agents of S.H.I.E.L.D.,Chinese Teenager #2,,Alice Wen
Agents of S.H.I.E.L.D.,Camper #3,,Caleb Burgess
Agents of S.H.I.E.L.D.,Bjorn,,Josh Diogo
Agents of S.H.I.E.L.D.,Qasim Zaghlul,,Vachik Mangassarian
Agents of S.H.I.E.L.D.,Toshiro Mori,,Brian Tee
Agents of S.H.I.E.L.D.,Emily Deville,,Felisha Terrell
Agents of S.H.I.E.L.D.,Agent Rebecca Stevens,,Monique Gabriela Curnen
Agents of S.H.I.E.L.D.,Chad,,Jeff Corbett
Agents of S.H.I.E.L.D.,Gabriel Soto,,Diego Serrano
Agents of S.H.I.E.L.D.,Diaz,,Paul Elia
Agents of S.H.I.E.L.D.,Agent Tanner,,Rich Paul
Agents of S.H.I.E.L.D.,Beta,,Jake Newton
Agents of S.H.I.E.L.D.,Agent Jones,,Braden Moran
Agents of S.H.I.E.L.D.,John Donnelly,,Daniel Roebuck
Agents of S.H.I.E.L.D.,Octavian Bloom,,Fred Dryer
Agents of S.H.I.E.L.D.,Steve Wilson,,Nelson Franklin
Agents of S.H.I.E.L.D.,Lead Hydra Agent,,Rick Otto
Agents of S.H.I.E.L.D.,Honest Eddie,,Stoney Westmoreland
Agents of S.H.I.E.L.D.,Francis Noche,,Geo Corvera
Agents of S.H.I.E.L.D.,Tiago,,Ben Griesse
Agents of S.H.I.E.L.D.,Agent Harlan,,Brandon Keener
Agents of S.H.I.E.L.D.,Aida,,Amanda Rea
Agents of S.H.I.E.L.D.,Kevin,,Robbie Silverman
Agents of S.H.I.E.L.D.,Watchdog Oscar,,Jonathan Camp
Agents of S.H.I.E.L.D.,Pete Boggs,,Trevor Torseth
Agents of S.H.I.E.L.D.,Watchdog #1,,Phil Tyler
